date_yyyy,date_yyyy-mm-dd,date_yyyy-mm-dd HH,date_yyyy-mm-dd HH:MM:SS,date_yyyy-mm-dd HH:MM:SS.ss,Whales,Dolphins,Length(m)
2010,2010-01-01,2010-01-01 16,2010-01-01 16:32:30,2010-01-01 16:32:30.50,91,42,5.32
2011,2011-01-01,2011-01-01 16,2011-01-01 16:32:30,2011-01-01 16:32:30.50,14,99,1.34
2012,2012-01-01,2012-01-01 16,2012-01-01 16:32:30,2012-01-01 16:32:30.50,76,65,7.86
2013,2013-01-01,2013-01-01 16,2013-01-01 16:32:30,2013-01-01 16:32:30.50,96,28,2.34
2014,2014-01-01,2014-01-01 16,2014-01-01 16:32:30,2014-01-01 16:32:30.50,28,96,3
2015,2015-01-01,2015-01-01 16,2015-01-01 16:32:30,2015-01-01 16:32:30.50,66,75,5.26
2016,2016-01-01,2016-01-01 16,2016-01-01 16:32:30,2016-01-01 16:32:30.50,99,15,1.24
2017,2017-01-01,2017-01-01 16,2017-01-01 16:32:30,2017-01-01 16:32:30.50,41,91,6.1
2018,2018-01-01,2018-01-01 16,2018-01-01 16:32:30,2018-01-01 16:32:30.50,54,84,5.1
2019,2019-01-01,2019-01-01 16,2019-01-01 16:32:30,2019-01-01 16:32:30.50,100,0,5.85
2020,2020-01-01,2020-01-01 16,2020-01-01 16:32:30,2020-01-01 16:32:30.50,54,84,7.24
2021,2021-01-01,2021-01-01 16,2021-01-01 16:32:30,2021-01-01 16:32:30.50,42,91,25
2022,2022-01-01,2022-01-01 16,2022-01-01 16:32:30,2022-01-01 16:32:30.50,99,14,32.2567
2023,2023-01-01,2023-01-01 16,2023-01-01 16:32:30,2023-01-01 16:32:30.50,65,76,1.2568
2024,2024-01-01,2024-01-01 16,2024-01-01 16:32:30,2024-01-01 16:32:30.50,29,96,6.235
,,,,,,,